date,store_id,product_id,sales,promotion,holiday
2022-01-01,1,101,240,0,0
2022-01-02,1,101,223,0,1
2022-01-03,1,101,201,0,0
2022-01-04,1,101,189,0,0
2022-01-05,1,101,196,0,0
2022-01-06,1,101,206,0,0
2022-01-07,1,101,276,1,0
2022-01-08,1,101,257,0,0
2022-01-09,1,101,198,0,1
2022-01-10,1,101,214,0,0
2022-01-11,1,101,251,1,0
2022-01-12,1,101,203,0,0
2022-01-13,1,101,206,0,0
2022-01-14,1,101,262,1,0
2022-01-15,1,101,232,0,0
2022-01-16,1,101,286,1,1
2022-01-17,1,101,205,0,0
2022-01-18,1,101,207,0,0
2022-01-19,1,101,222,0,0
2022-01-20,1,101,282,1,0
2022-01-21,1,101,191,0,0
2022-01-22,1,101,233,0,0
2022-01-23,1,101,244,0,1
2022-01-24,1,101,189,0,0
2022-01-25,1,101,227,1,0
2022-01-26,1,101,244,1,0
2022-01-27,1,101,222,0,0
2022-01-28,1,101,183,0,0
2022-01-29,1,101,298,1,0
2022-01-30,1,101,251,0,1
2022-01-31,1,101,213,0,0
2022-02-01,1,101,218,0,0
2022-02-02,1,101,184,0,0
2022-02-03,1,101,192,0,0
2022-02-04,1,101,222,0,0
2022-02-05,1,101,230,0,0
2022-02-06,1,101,247,0,1
2022-02-07,1,101,273,1,0
2022-02-08,1,101,250,1,0
2022-02-09,1,101,213,0,0
2022-02-10,1,101,229,0,0
2022-02-11,1,101,241,0,0
2022-02-12,1,101,250,0,0
2022-02-13,1,101,294,1,1
2022-02-14,1,101,204,0,0
2022-02-15,1,101,203,0,0
2022-02-16,1,101,214,0,0
2022-02-17,1,101,202,0,0
2022-02-18,1,101,306,1,0
2022-02-19,1,101,231,0,0
2022-02-20,1,101,260,0,1
2022-02-21,1,101,251,0,0
2022-02-22,1,101,292,1,0
2022-02-23,1,101,280,1,0
2022-02-24,1,101,209,0,0
2022-02-25,1,101,213,0,0
2022-02-26,1,101,263,0,0
2022-02-27,1,101,245,0,1
2022-02-28,1,101,229,0,0
2022-03-01,1,101,215,0,0
2022-03-02,1,101,206,0,0
2022-03-03,1,101,211,0,0
2022-03-04,1,101,203,0,0
2022-03-05,1,101,263,0,0
2022-03-06,1,101,254,0,1
2022-03-07,1,101,198,0,0
2022-03-08,1,101,207,0,0
2022-03-09,1,101,208,0,0
2022-03-10,1,101,213,0,0
2022-03-11,1,101,219,0,0
2022-03-12,1,101,255,0,0
2022-03-13,1,101,280,0,1
2022-03-14,1,101,209,0,0
2022-03-15,1,101,223,0,0
2022-03-16,1,101,219,0,0
2022-03-17,1,101,292,1,0
2022-03-18,1,101,229,0,0
2022-03-19,1,101,259,0,0
2022-03-20,1,101,263,0,1
2022-03-21,1,101,228,0,0
2022-03-22,1,101,235,0,0
2022-03-23,1,101,230,0,0
2022-03-24,1,101,219,0,0
2022-03-25,1,101,231,0,0
2022-03-26,1,101,319,1,0
2022-03-27,1,101,265,0,1
2022-03-28,1,101,206,0,0
2022-03-29,1,101,233,0,0
2022-03-30,1,101,246,1,0
2022-03-31,1,101,273,1,0
2022-04-01,1,101,287,1,0
2022-04-02,1,101,254,0,0
2022-04-03,1,101,264,0,1
2022-04-04,1,101,279,1,0
2022-04-05,1,101,234,0,0
2022-04-06,1,101,248,0,0
2022-04-07,1,101,269,1,0
2022-04-08,1,101,192,0,0
2022-04-09,1,101,281,1,0
2022-04-10,1,101,251,0,1
2022-04-11,1,101,207,0,0
2022-04-12,1,101,238,0,0
2022-04-13,1,101,201,0,0
2022-04-14,1,101,232,0,0
2022-04-15,1,101,285,1,0
2022-04-16,1,101,250,0,0
2022-04-17,1,101,271,0,1
2022-04-18,1,101,288,1,0
2022-04-19,1,101,262,0,0
2022-04-20,1,101,220,0,0
2022-04-21,1,101,220,0,0
2022-04-22,1,101,223,0,0
2022-04-23,1,101,309,1,0
2022-04-24,1,101,221,0,1
2022-04-25,1,101,267,1,0
2022-04-26,1,101,213,0,0
2022-04-27,1,101,185,0,0
2022-04-28,1,101,215,0,0
2022-04-29,1,101,279,1,0
2022-04-30,1,101,233,0,0
2022-05-01,1,101,234,0,1
2022-05-02,1,101,251,1,0
2022-05-03,1,101,225,0,0
2022-05-04,1,101,245,0,0
2022-05-05,1,101,228,0,0
2022-05-06,1,101,196,0,0
2022-05-07,1,101,230,0,0
2022-05-08,1,101,255,0,1
2022-05-09,1,101,218,0,0
2022-05-10,1,101,211,0,0
2022-05-11,1,101,203,0,0
2022-05-12,1,101,260,1,0
2022-05-13,1,101,260,1,0
2022-05-14,1,101,255,0,0
2022-05-15,1,101,216,0,1
2022-05-16,1,101,272,1,0
2022-05-17,1,101,215,0,0
2022-05-18,1,101,273,1,0
2022-05-19,1,101,240,0,0
2022-05-20,1,101,204,0,0
2022-05-21,1,101,243,0,0
2022-05-22,1,101,237,0,1
2022-05-23,1,101,203,0,0
2022-05-24,1,101,205,0,0
2022-05-25,1,101,208,0,0
2022-05-26,1,101,266,1,0
2022-05-27,1,101,208,0,0
2022-05-28,1,101,240,0,0
2022-05-29,1,101,296,1,1
2022-05-30,1,101,246,0,0
2022-05-31,1,101,194,0,0
2022-06-01,1,101,215,0,0
2022-06-02,1,101,222,0,0
2022-06-03,1,101,220,0,0
2022-06-04,1,101,234,0,0
2022-06-05,1,101,292,1,1
2022-06-06,1,101,260,1,0
2022-06-07,1,101,221,0,0
2022-06-08,1,101,218,0,0
2022-06-09,1,101,261,1,0
2022-06-10,1,101,276,1,0
2022-06-11,1,101,246,0,0
2022-06-12,1,101,241,0,1
2022-06-13,1,101,254,1,0
2022-06-14,1,101,215,0,0
2022-06-15,1,101,223,0,0
2022-06-16,1,101,199,0,0
2022-06-17,1,101,187,0,0
